City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,suvorovskaya,44.1942,42.6539,35.16,18,75,4.76,RU,1692710273
287,stanley,54.868,-1.6985,20.4,70,40,7.72,GB,1692710273
288,holualoa,19.6228,-155.9522,23.21,87,100,3.09,US,1692710274
289,courtenay,49.6866,-124.9936,15.96,73,75,2.06,CA,1692710188
290,floresta,-8.6011,-38.5686,30.65,40,6,5.59,BR,1692710275
291,great falls,47.5002,-111.3008,16.49,97,75,0.0,US,1692710275
292,fiambala,-27.6871,-67.6149,23.73,3,35,6.54,AR,1692710275
293,center,31.5107,-96.4247,29.58,71,90,0.45,US,1692710275
294,pisco,-13.7,-76.2167,18.03,94,100,2.06,PE,1692710066
295,malmberget,67.1753,20.6549,16.31,63,0,2.06,SE,1692710276
296,cordele,31.9635,-83.7824,28.58,78,0,0.0,US,1692710276
297,tughyl,47.7252,84.2063,24.85,39,100,2.92,KZ,1692710276
298,el granada,37.5027,-122.4694,19.97,85,40,1.54,US,1692710276
299,margate,51.3813,1.3862,24.27,70,6,1.34,GB,1692710277
300,yangjiang,21.85,111.9667,27.92,83,100,2.01,CN,1692710146
301,novyy urgal,51.0736,132.5642,15.34,98,100,0.63,RU,1692710277
302,khovd,48.0056,91.6419,17.1,57,43,3.33,MN,1692710277
303,banda aceh,5.5577,95.3222,27.5,81,91,4.69,ID,1692710099
304,jining,35.405,116.5814,24.53,76,0,2.56,CN,1692710277
305,turpan,42.9333,89.1667,37.35,10,0,1.83,CN,1692710278
306,cannonvale,-20.2833,148.7,20.66,83,0,4.57,AU,1692710278
307,niquelandia,-14.4739,-48.4597,32.98,23,11,2.83,BR,1692710025
308,namibe,-15.1961,12.1522,21.33,75,30,5.89,AO,1692710127
309,samana,19.2056,-69.3369,26.12,89,75,2.06,DO,1692710278
310,cestos city,5.46,-9.5828,26.59,82,77,5.87,LR,1692710279
311,sen monorom,12.45,107.2,21.09,96,58,1.49,KH,1692710279
312,belomorsk,64.5232,34.7668,12.6,69,100,2.79,RU,1692710279
313,frankfort,-27.2667,28.4833,25.23,6,0,6.27,ZA,1692710279
314,alliance,40.9153,-81.1059,20.51,83,100,4.01,US,1692710212
315,machico,32.7,-16.7667,33.17,65,20,3.09,PT,1692710279
316,floro,61.5996,5.0328,21.04,68,75,4.63,NO,1692710280
317,fonte boa,-2.4959,-66.2662,29.11,51,89,2.15,BR,1692710280
318,onega,63.9061,38.1404,12.74,63,95,3.88,RU,1692710115
319,newman,37.3138,-121.0208,19.13,87,8,0.89,US,1692710280
320,sao miguel do araguaia,-13.275,-50.1628,33.91,25,100,3.85,BR,1692710275
321,as sanamayn,33.0723,36.1838,40.82,14,0,7.07,SY,1692710281
322,chimbarongo,-34.7,-71.05,12.49,94,100,5.17,CL,1692710282
323,corinto,37.9407,22.9573,34.94,29,0,8.78,GR,1692710282
324,tokar,18.4254,37.729,39.29,26,91,8.19,SD,1692710283
325,jasidih,24.5167,86.65,28.76,78,100,2.6,IN,1692710101
326,kingston,17.997,-76.7936,31.53,74,20,1.03,JM,1692710283
327,tofol,5.3248,163.0078,27.72,74,100,0.65,FM,1692710284
328,rabo de peixe,37.8,-25.5833,22.73,60,20,6.17,PT,1692710284
329,ulladulla,-35.35,150.4667,12.13,91,100,2.81,AU,1692710046
330,ca mau,9.1769,105.15,26.74,82,2,2.46,VN,1692710104
331,callao,-12.0667,-77.15,20.16,77,100,2.57,PE,1692710005
332,kyzylorda,44.8528,65.5092,36.01,14,20,2.0,KZ,1692710134
333,klyuchi,52.2667,79.1667,27.89,41,11,1.95,RU,1692710285
334,al jawf,29.5,38.75,43.31,7,11,1.73,SA,1692710285
335,zhanaozen,43.3,52.8,33.9,20,45,5.81,KZ,1692710285
336,aykhal,66.0,111.5,4.74,74,0,4.68,RU,1692710286
337,mogadishu,2.0371,45.3438,26.95,77,63,8.22,SO,1692710286
338,progreso,21.2833,-89.6667,26.73,80,32,2.4,MX,1692710286
339,chegdomyn,51.1167,133.0167,15.66,98,100,0.36,RU,1692710286
340,keflavik,64.0049,-22.5624,13.24,50,0,2.06,IS,1692710286
341,khadro,26.1472,68.7176,35.91,40,7,9.27,PK,1692710287
342,midvagur,62.0511,-7.1939,16.46,82,75,5.66,FO,1692710287
343,pangai,-19.8,-174.35,21.97,71,99,8.12,TO,1692710287
344,conneaut,41.9476,-80.5542,20.49,77,100,5.06,US,1692710287
345,chatra,24.2167,84.8667,27.21,79,92,0.76,IN,1692710093
346,saint-joseph,-21.3667,55.6167,23.21,76,25,6.11,RE,1692710288
347,dakingari,11.6451,4.0605,33.17,51,70,1.98,NG,1692710288
348,sultanah,24.4926,39.5857,45.25,5,40,6.17,SA,1692710288
349,fort bragg,35.139,-79.006,27.17,70,0,1.54,US,1692710288
350,greenville,35.6127,-77.3663,27.3,83,0,0.0,US,1692710200
351,midland,31.9974,-102.0779,27.67,59,0,3.09,US,1692710288
352,digboi,27.3833,95.6333,23.55,99,100,0.92,IN,1692710289
353,kasane,-17.8167,25.15,36.05,10,0,3.6,BW,1692710289
354,katsuura,35.1333,140.3,26.86,91,73,4.94,JP,1692710214
355,maceio,-9.6658,-35.7353,27.69,78,75,5.14,BR,1692710289
356,picota,-6.9197,-76.3304,25.27,85,62,0.48,PE,1692710290
357,birao,10.2849,22.7882,32.69,52,36,1.64,CF,1692710290
358,toulepleu guere,6.574,-8.4259,27.79,76,96,1.72,CI,1692710290
359,laguna,38.421,-121.4238,20.1,88,0,0.0,US,1692710290
360,velizh,55.6056,31.1967,18.14,77,95,3.85,RU,1692710291
361,hasaki,35.7333,140.8333,28.5,88,0,5.13,JP,1692710291
